"id";"price";"amount";"id_provider";"id_ingredient"
"1";"16";"6";"1";"1"
"2";"15";"6";"2";"1"
"3";"16";"6";"3";"1"
"4";"15";"6";"4";"1"
"5";"16";"6";"5";"1"
"6";"16";"6";"6";"1"
"7";"5";"1";"1";"2"
"8";"5";"1";"2";"2"
"9";"4";"1";"3";"2"
"10";"4";"1";"4";"2"
"11";"5";"1";"5";"2"
"12";"6";"1";"6";"2"
"13";"4";"1";"1";"3"
"14";"3";"1";"2";"3"
"15";"4";"1";"3";"3"
"16";"3";"1";"4";"3"
"17";"4";"1";"5";"3"
"18";"3";"1";"6";"3"
"19";"5";"3";"1";"4"
"20";"4";"2";"2";"4"
"21";"4";"3";"3";"4"
"22";"5";"3";"4";"4"
"23";"5";"3";"5";"4"
"24";"5";"3";"6";"4"
"25";"6";"2";"1";"5"
"26";"6";"3";"2";"5"
"27";"6";"3";"3";"5"
"28";"6";"3";"4";"5"
"29";"6";"2";"5";"5"
"30";"6";"2";"6";"5"
"31";"12";"6";"1";"6"
"32";"11";"6";"2";"6"
"33";"12";"6";"3";"6"
"34";"12";"6";"4";"6"
"35";"12";"6";"5";"6"
"36";"12";"6";"6";"6"
"37";"8";"1";"1";"7"
"38";"8";"1";"2";"7"
"39";"8";"1";"3";"7"
"40";"7";"1";"4";"7"
"41";"8";"1";"5";"7"
"42";"8";"1";"6";"7"
"43";"8";"5";"1";"8"
"44";"6";"5";"2";"8"
"45";"8";"5";"3";"8"
"46";"7";"5";"4";"8"
"47";"8";"5";"5";"8"
"48";"8";"5";"6";"8"
"49";"2";"5";"1";"9"
"50";"1";"5";"2";"9"
"51";"1";"5";"3";"9"
"52";"2";"5";"4";"9"
"53";"2";"5";"5";"9"
"54";"2";"5";"6";"9"
"55";"5";"4";"1";"10"
"56";"5";"4";"2";"10"
"57";"5";"4";"3";"10"
"58";"5";"4";"4";"10"
"59";"5";"4";"5";"10"
"60";"5";"4";"6";"10"
"61";"2";"1";"1";"11"
"62";"3";"1";"2";"11"
"63";"3";"1";"3";"11"
"64";"3";"1";"4";"11"
"65";"3";"1";"5";"11"
"66";"3";"1";"6";"11"
"67";"5";"7";"1";"12"
"68";"5";"7";"2";"12"
"69";"5";"7";"3";"12"
"70";"6";"7";"4";"12"
