"id";"ingredient";"products_id"
"1";"Pechuga de gallina ";"16"
"2";"Laurel ";"16"
"3";"Apio ";"16"
"4";"Zanahoria ";"16"
"5";"Pan ";"16"
"6";"Leche ";"16"
"7";"Aceite ";"16"
"8";"Cebolla";"16"
"9";"Dientes de ajo ";"16"
"10";"Aji de amarillo ";"16"
"11";"Palillo ";"16"
"12";"Comino ";"16"
"13";"Pecanas ";"16"
"14";"Queso ";"16"
"15";"Papas ";"16"
"16";"Aceitunas ";"16"
"17";"Huevos ";"16"
"18";"Sal ";"16"
"19";"Pimienta";"16"
"20";"Cuy";"1"
"21";"Chicha de jora
";"1"
"22";"Aji panca 
";"1"
"23";"Oregano ";"1"
"24";"Hierbabuena ";"1"
"25";"Limon ";"1"
"26";"Sal";"1"
"27";"Aceite";"1"
"28";"Aceite de oliva";"17"
"29";"Cebolla morada ";"17"
"30";"Pimiento rojo ";"17"
"31";"Aceitunas negras";"17"
"32";"Guisantes ";"17"
"33";"Elote verde";"17"
"34";"Salsa de tomate";"17"
"35";"Perejil";"17"
"36";"Caldo de verduras";"17"
"37";"Laurel ";"17"
"38";"Sal ";"17"
"39";"Pimienta negra ";"17"
"40";"Harina de maíz";"17"
"41";"Huevos ";"17"
"42";"Lomo ";"15"
"43";"Sal";"15"
"44";"Pimienta";"15"
"45";"Aceite";"15"
"46";"Dientes de ajo
";"15"
"47";"Cebolla ";"15"
"48";"Tomates";"15"
"49";"Aji amarillo
";"15"
"50";"Salsa de soya ";"15"
"51";"Vinagre tinto
";"15"
"52";"Culantro";"15"
"53";"Papas";"15"
"54";"Arroz blanco
";"15"
"55";"Huacatay";"2"
"56";"Culantro";"2"
"57";"Chincho";"2"
"58";"Dientes de ajo
";"2"
"59";"Aceite";"2"
"60";"Aji verde
";"2"
"61";"Pollo ";"2"
"62";"Cordero";"2"
"63";"Chancho ";"2"
"64";"Vinagre ";"2"
"65";"Papas ";"2"
"66";"Habas ";"2"
"67";"Chicha de jora
";"2"
"68";"Camote ";"2"
"69";"Sal";"2"
"70";"Platanos verdes
";"18"
"71";"Cecina de cerdo
";"18"
"72";"Chorizo";"18"
"73";"Aceite ";"18"
"74";"Sal";"18"
"75";"Camote";"7"
"76";"Pollo ";"7"
"77";"Ajo";"7"
"78";"Cebolla";"7"
"79";"Tomate ";"7"
"80";"Sal";"7"
"81";"Pimienta";"7"
"82";"Aceite";"7"
"83";"Cuajada Ligera";"7"
"84";"Harina de Linaza";"7"
"85";"Tortillas de Trigo ";"8"
"86";"Lonchas Grandes de Jamón Cocido";"8"
"87";"Cucharadas de Maíz Dulce";"8"
"88";"Queso Mozzarella";"8"
"89";"Queso Cheddar";"8"
"90";"El zumo de 1/2 Lima";"8"
"91";"Gotitas de Tabasco ";"8"
"92";"Carne de Puerco Portada en Cubos";"9"
"93";"Costilla de puerco cortada en trozos";"9"
"94";"Maíz para pozole ";"9"
"95";"Cebolla blanca ";"9"
"96";"Dientes de ajo ";"9"
"97";"Sal";"9"
"98";"Chiles anchos";"9"
"99";"Pulpa con grasa y pierna cerdo ";"10"
"100";"manteca de cerdo";"10"
"101";"Cucharada de sal";"10"
"102";"Dientes de ajo ";"10"
"103";"Carne de vacuno ";"11"
"104";"Morcillas";"11"
"105";"Chorizos o longanizas parrilleras";"11"
"106";"Riñones";"11"
"107";"Chinchulín o chinchurrias";"11"
"108";"Pollo campestre";"11"
"109";"Sal parrillera";"11"
"110";"Limón";"11"
"111";"Pescado blanco";"12"
"112";"Limón";"12"
"113";"Sal ";"12"
"114";"Pimienta";"12"
"115";"Aceite de oliva";"12"
"116";"Cebolla";"12"
"117";"Pimiento morrón rojo";"12"
"118";"Ajo";"12"
"119";"Vino blanco seco";"12"
"120";"Tomates";"12"
"121";"Caldo de pescado";"12"
"122";"Pimentón";"12"
"123";"Patatas";"12"
"124";"Perejil";"12"
"125";"Harina de Trigo";"13"
"126";"Polvo para Hornear";"13"
"127";"Sal";"13"
"128";"Aceite";"13"
"129";"Espaguetis";"14"
"130";"Queso Pecorino Romano";"14"
"131";"Pimienta negra en grano";"14"
"132";"Goma de Mandioca";"18"
"133";"Sal";"18"
"134";"Camarón Salado ";"18"
"135";"Hojas de chicória";"18"
"136";"Maços de jambu";"18"
"137";"Tucupi";"18"
"138";"Chiles";"18"
"139";"Dientes de ajo";"18"
"140";"Queso Parmesano";"19"
"141";"Queso pecorino";"19"
"142";"Queso manchego";"19"
"143";"Piñones";"19"
"144";"Ajo";"19"
"145";"Albahaca ";"19"
"146";"Aceite de oliva virgen extra";"19"
"147";"Patata ";"19"
"148";"Judías verdes ";"19"
"149";"Tallarines";"19"
"150";"Sal";"19"
"151";"Pan ciabatta";"20"
"152";"Tomates grandes";"20"
"153";"Cebolla roja ";"20"
"154";"Pepino pelado ";"20"
"155";"Dientes de ajo ";"20"
"156";"Aceite de oliva";"20"
"157";"Mantequilla";"20"
"158";"Perejil fresco ";"20"
"159";"Hojas de albahaca ";"20"
"160";"Vinagre de vino tinto";"20"
"161";"Sal";"20"
"162";"Pimienta ";"20"
